商品名,種別1,種別2,カテゴリー,税区分,販売総売上,構成比%,粗利総額,構成比%,販売商品数,構成比%,返品商品数,構成比%,商品ID,商品コード,バーコード
☆IET,,,ランチセット　紅茶・抹茶,内税,12960,32.8,12960,32.8,27,34.2,0,0.0,10433,,
☆Iゆず,,,ランチセット　紅茶・抹茶,内税,5760,14.6,5760,14.6,12,15.2,0,0.0,10437,,
☆Iチャイ,,,ランチセット　紅茶・抹茶,内税,5660,14.3,5660,14.3,10,12.7,0,0.0,10439,,
☆IST,,,ランチセット　紅茶・抹茶,内税,3360,8.5,3360,8.5,7,8.9,0,0.0,10435,,
☆チャイ,,,ランチセット　紅茶・抹茶,内税,2690,6.8,2690,6.8,5,6.3,0,0.0,10438,,
☆ET,,,ランチセット　紅茶・抹茶,内税,2300,5.8,2300,5.8,5,6.3,0,0.0,10432,,
☆GTO,,,ランチセット　紅茶・抹茶,内税,2260,5.7,2260,5.7,4,5.1,0,0.0,10443,,
☆GT,,,ランチセット　紅茶・抹茶,内税,1500,3.8,1500,3.8,3,3.8,0,0.0,10442,,
☆I抹ラテ,,,ランチセット　紅茶・抹茶,内税,1160,2.9,1160,2.9,2,2.5,0,0.0,10445,,
☆ST,,,ランチセット　紅茶・抹茶,内税,910,2.3,910,2.3,2,2.5,0,0.0,10434,,
☆ゆず,,,ランチセット　紅茶・抹茶,内税,910,2.3,910,2.3,2,2.5,0,0.0,10436,,
